Tahun,Bulan,Sandi Bank,Sandi Bank LPS,Kelompok BUKU,Unnamed: 5,Flag Syariah,Nama Bank,Kas IDR,Kas Valas,Kas Total,Giro IDR,Giro Valas,Giro Total,SBI IDR,SBIS IDR,SBN IDR,SBSN IDR,SDBI IDR,SB Lainnya IDR,SB Lainnya HTM IDR,Total SB IDR,SBN Valas,SSB Lainnya Valas,SBBI Valas,SSB Valas Lainnya HTM Valas,Total SB Valas,FASBI DF IDR Valas,TD IDR,TD Valas,RR SBN IDR Valas,AL Lainnya IDR Valas,Total OM,GWM IDR,GWM Valas,PLM,Penem Bank Lain IDR,Kewajiban Bank Lain IDR,NAB IDR,Penem Bank Lain Valas,Kewajiban Bank Lain Valas,NAB Valas,NAB Total,TOTAL AL dan net AB,Total AL,DPK Giro IDR,DPK Tabungan IDR,DPK Deposito IDR,DPK IDR,DPK Giro Valas,DPK Tabungan Valas,DPK Deposito Valas,DPK Valas,DPK,NCD IDR,NCD Valas,NCD,Kredit IDR,Kredit Valas,Total Kredit,Repo SB,Kewajiban Repo atau Kewajiban BI,Rasio AL Net AB NCD,Rasio AL Net AB DPK,Rasio AL NCD,Rasio AL DPK
2022,3,95,BUK024,KBMI 1,,0,PT Bank JTrust Indonesia Tbk,78687224100,73839902424,152527126524,296657245069,70199369871,366856614940,0,0,978441024360,0,0,2291501336000,0,3269942360360,28102890200,0,0,0,28102890200,2180000043999,0,0,0,0,2180000043999,465679126173.99,38689662097.26,1047427238639.76,23658094757,3216129655517,-3192471560760,627605228739,0,627605228739,-2564866332021,-410734658909,2154131673112,945090815223,2214027307200,12363519416710,15522637539133,413765345190,0,1520717759673,1934483104863,17457120643996,2184087378397.9,276201379524.3,2460288757922.2,11222246746046,1190404044719,12412650790765,0,0,-0.166945,-0.023528,0.87556,0.123395
2022,3,87,BUK032,KBMI 3,,0,PT Bank HSBC Indonesia,249098995250,197857475307,446956470557,7150981437856,1336317008047,8487298445903,0,0,20512601716175,0,0,0,0,20512601716175,64215745513,0,0,0,64215745513,1899854872197,8995824172156,0,13095205320576,5460220000000,29451104364929,1722616272699.42,514569857255.3,4988942117164.74,80914107374,6097181136479,-6016267029105,5003712714096,29581549702,4974131164394,-1042135864711,50693912631247,51736048495958,28968936379237,7738691377388,20712914666689,57420542423314,14553213435986,8325121698399,2850157728380,25728492862765,83149035286079,13083579793656.4,7148516313153.5,20232096106809.9,35790719121181,19522162338502,55312881459683,0,0,2.505618,0.609675,2.557127,0.622208
2022,3,130,BUK076,KBMI 1,,0,PT Bank Pembangunan Daerah Nusa Tenggara Timur,277593786252,0,277593786252,706503463049,0,706503463049,0,0,880154309055,0,0,0,15000000000,895154309055,0,0,0,0,0,0,1924680122812,0,1178576187054,0,3103256309866,405007469506.2,0.0,810014939012.4,215870816219,82585165767,133285650452,0,0,0,133285650452,3885771110156,3752485459704,3637211044452,3543761591605,6319276347483,13500248983540,0,0,0,0,13500248983540,2786219425565.4,0.0,2786219425565.4,11091540996462,0,11091540996462,0,0,1.394639,0.287829,1.346801,0.277956
2022,3,133,BUK011,KBMI 1,,0,PT Bank Pembangunan Daerah Bengkulu,134793895264,0,134793895264,353242837824,0,353242837824,0,0,204992550874,0,0,0,0,204992550874,0,0,0,0,0,450000000000,404824132694,0,0,0,854824132694,219267725454.15,0.0,438535450908.3,4792067,57950785528,-57945993461,0,0,0,-57945993461,832104246833,890050240294,1597466931767,1472275459133,4239181790905,7308924181805,0,0,0,0,7308924181805,1344840896360.5,0.0,1344840896360.5,6291784357619,0,6291784357619,0,0,0.618738,0.113847,0.661825,0.121775
2022,3,61,BUK008,KBMI 1,,0,PT Bank ANZ Indonesia,6015310900,2997657709,9012968609,136385370112,316137376060,452522746172,0,0,1971984045261,0,0,0,0,1971984045261,0,0,0,0,0,305589165110,2734173638895,0,400535000100,0,3440297804105,81520440520.29,78596338734.44,398829897243.9,7252326871,306528199877,-299275873006,1043627147089,111026682569,932600464520,633324591514,5948195479163,5314870887649,2578829617686,0,138518399657,2717348017343,3802023466397,0,127793470325,3929816936722,6647164954065,787500725271.5,1153386386951.6,1940887112223.1,4261253552690,2166559237571,6427812790261,0,0,3.064678,0.894846,2.738371,0.799569
2022,3,32,BUA009,KBMI 1,,0,JP. Morgan Chase Bank N.A.,2828351500,2385196524,5213548024,587841602178,316126880904,903968483082,0,0,6371640897625,0,0,0,0,6371640897625,0,0,0,0,0,1200000000000,0,4095165000000,6859557242876,0,12154722242876,163556780989.8,105850366848.92,644664662526.36,41017385942,900000000000,-858982614058,138595604580,0,138595604580,-720387009478,17801086351764,18521473361242,4370892699660,0,1081000000000,5451892699660,5178284792446,0,114233550000,5292518342446,10744411042106,1419367809898.0,1564908792733.8,2984276602631.8,996460561720,2780016477271,3776477038991,0,0,5.964958,1.656776,6.206352,1.723823
2022,3,14,BUK022,KBMI 4,,0,PT Bank Central Asia Tbk.,16102102688452,938465325510,17040568013962,68939455236749,3453123879912,72392579116661,0,0,146835464541877,0,0,28853268781091,5821000000000,181509733322968,7855227019099,2146383744000,13397311746956,12883342858461,36282265368516,3100000000000,21994063843488,18320475000000,197783564328186,0,241198103171674,27359986963547.55,1521309807219.36,59283903348753.18,2128958047364,5354239184874,-3225281137510,26111528296679,2305185733160,23806342563519,20581061426009,431135114916718,410554053490709,258493358844323,476096100012544,177410106594718,911999565451585,41996123008539,18617626751450,15451740600979,76065490360968,988065055812553,238117848316531.9,19729298988094.6,257847147304626.5,584646319582271,35205387559365,619851707141636,0,0,1.672056,0.436342,1.592238,0.415513
2022,3,950,BUK028,KBMI 1,,0,PT Bank Commonwealth,62058494400,29608599191,91667093591,808007135812,150756027595,958763163407,0,0,3080340113490,0,0,0,0,3080340113490,842566968507,447256725418,0,0,1289823693925,195000000000,649823304889,646605000000,775506568075,0,2266934872964,312424788917.76,68793860902.54,831231160543.14,239469544774,135978446085,103491098689,1451980071132,1006,1451980070126,1555471168815,7583293570410,6027822401595,579149202292,2861981734846,6973028693454,10414159630592,381376273589,2412249104935,646067666603,3439693045127,13853852675719,1729642150486.8,902694380217.5,2632336530704.3,9621240604517,29058903553,9650299508070,0,0,2.880822,0.547377,2.289913,0.4351
2022,3,125,BUK053,KBMI 1,,0,PT Bank Pembangunan Daerah Kalimantan Tengah,428594522300,0,428594522300,617052286171,0,617052286171,0,0,249654236484,0,0,0,270989107987,520643344471,0,0,0,0,0,639933502311,0,0,1374088596650,0,2014022098961,272995120752.84,0.0,545990241505.68,6278551745,3308861571,2969690174,0,0,0,2969690174,2493307471831,2490337781657,4275645032206,2054992760675,2769199565547,9099837358428,0,0,0,0,9099837358428,2176111294419.0,0.0,2176111294419.0,7593041463813,0,7593041463813,0,0,1.145762,0.273994,1.144398,0.273668
2022,3,113,BUK049,KBMI 2,,0,PT Bank Pembangunan Daerah Jawa Tengah,1097430572800,1876963543,1099307536343,3991266600644,16377307712,4007643908356,0,0,13727046001346,0,0,602857410000,1632587668677,15962491080023,26536946089,0,0,0,26536946089,2488000000000,0,0,640075222978,0,3128075222978,1842961809539.85,144896894.64,3686358309763.62,190826919309,5998009844547,-5807182925238,114631426167,0,114631426167,-5692551499071,10766593099842,16459144598913,16641492698462,22591208626610,22199358992923,61432060317995,3388191907,0,3856652825,7244844732,61439305162727,13989746296813.9,1402122854.6,13991148419668.5,52598320473751,0,52598320473751,0,0,0.769528,0.175239,1.176396,0.267892
